Location,Year in Service,Have Boiler?,Installation Type,Sensor Type,Cost (€ million),Production (MWh/yr),CO2 Saved (Tons),Sensor Surface (m^2),Storage (m^3),Manufacturer,Client,Sources
Caudan,2023,Yes,Industrial,Glass plane,0.65,200,,300,100,Société Publique Locale Bois Energie Renouvelable,Bretagne Sud Hospital Group,https://achat-logistique.info/durable/le-solaire-thermique-reussit-a-la-blanchisserie-du-ghbs/
Loudeac,2016,,Industrial,Glass plane,,118,,215,20,,Nutri-Future Prod,https://www.linkedin.com/pulse/solaire-thermique-et-gaz-pour-lecs-sur-le-site-prod-sant%C3%A9-tony-mace/
Saint-Germain-sur-Ille,,,Industrial,,,,,100,,,,
Chateaubriant,2017,Yes,Heat Network,Glass plane,,900,5500,2340,150,ENGIE Solutions,City of Chateaubriant,https://www.mairie-chateaubriant.fr/la-centrale-solaire-thermique/
Chemillé-en-Anjou,2023,,Industrial,Vacuum tubes,,,,387,,,La Haute Brosse Earl,https://www.anjou-agricole.com/le-chauffage-solaire-thermique-en-porc-une-energie-prometteuse
Montreuil-Bellay,2012,,Industrial,,,,,252,,,,
Bressuire,2014,,Industrial,Glass plane,,370,34,150,,,,https://www.solaire-collectif.fr/photo/img/Nouvelles%20fiches%20operations/160721-Charcuterie-industrielle-Bressuire.pdf
Chasseneuil-du-Poitou,2014,Yes,Industrial,Glass plane,,800,1500,1500,60,Sunoptimo,BONILAIT PROTEINES,"https://www.sunoptimo.com/fr/bonilait-proteines
https://www.viessmann.fr/fr/references/bonilait-a-chasseneuil-du-poitou.html"
Issoudun,2021,Yes,Industrial,Glass plane,5.7,8500,2200,14250,3000,Kyotherm,Malteries Franco-Suisses,"https://newheat.com/realisations/malteries-franco-suisse-boortmalt/
https://kyotherm.com/en/portfolio/malterie-boortmalt/
https://fondschaleur.ademe.fr/temoignages/tim-fievez/"
Pons,2021,Yes,Heat Network,Glass plane,1.3,1000,250,1800,500,Newheat,Dalkia,"https://newheat.com/realisations/reseau-chaleur-pons/
https://meriauraenergy.com/cases/pons-2/
https://fondschaleur.ademe.fr/temoignages/jacky-botton/"
Condat-sur-Vezere,2019,,Industrial,Glass plane,2.3,3900,1078,4212,500,Newheat,Lecta Group,"https://newheat.com/en/projects/condat-paper-mill-lecta/
https://fondschaleur.ademe.fr/temoignages/stephane-de-gelis/"
Ussel,2011,,Industrial,Glass plane,,,,250,,,,
Cadaujac,2021,,Heat Network,Glass plane,0.3,510,100,940,100,Meriaura Energy,AbSolar,"https://www.ab-solar.fr/poc/
https://meriauraenergy.com/cases/cadaujac-2/
https://meriauragroup.com/savosolar-hands-over-solar-district-heating-system-in-cadaujac-france/"
Allemans-du-Dropt,2018,,Industrial,Concentration,,,,200,20,,,https://idhelio.com/wp-content/uploads/2022/10/france-3-idhelio.mp4
Agen,2019,,Industrial,Glass plane,,550,150,600,,,SOLHO,https://solho.eu/en-gb/projects/
Balma,2014,,Heat Network,Vacuum tubes,,400,1000,460,,ENGIE Solutions,Region of Toulouse Metropole,https://www.viessmann.fr/fr/references/reseau-de-chaleur-de-l-eco-quartier-de-balma.html
Juvignac,2015,,Heat Network,Glass plane,,210,,300,,,,
Narbonne,2021,,Heat Network,Glass plane,2,2200,580,3200,1000,Newheat,Société Narbonnaise de Chauffage,"https://newheat.com/realisations/reseau-chaleur-narbonne/
https://meriauraenergy.com/cases/narbonne-2/
https://fondschaleur.ademe.fr/temoignages/didier-mouly/"
Palau-del-Vidre,2025,Yes,Industrial,Glass plane,1.7,3500,,5800,,Meriaura Energy,Les Serres Vermeil SARL,"https://meriauraenergy.com/cases/palau-del-vidre/
https://meriauragroup.com/inside-information-meriaura-energy-signs-a-contract-with-serres-vermeil-sarl-to-deliver-a-solar-thermal-plant-in-palau-del-vidre-france/"
Salon-de-Provence,2021,,Heat Network,Glass plane,,,,2000,,Dall Energy,Groupe Coriance,https://dallenergy.com/en/projects/10-mw-salon-de-provence-fr/
Saint-Christol,2017,Yes,Heat Network,Concentration,0.35,560,,750,30,HELIOCLIM,Infrastructure Defense,https://www.construction21.org/france/infrastructure/h/centrale-solaire-helioclim-reseau-de-chaleur-de-la-base-de-defense-militaire-de-saint-christol-d-albion-84.html
The Bourget-du-Lac,2017,,Heat Network,Glass plane,,,,300,40,,,
Voreppe,2018,Yes,Heat Network,Glass plane,,79,12,165,,Meriaura Energy,Veolia,"https://www.ines-solaire.org/renforcer-capacites/audit-evaluation/voreppe-reussit-lintegration-du-solaire-thermique-dans-son-reseau-de-chaleur/
https://meriauraenergy.com/cases/voreppe-2/"
Grenoble,2024,,Heat Network,Glass plane,,136,,180,,,,
Merville,2018,,Industrial,Glass plane,0.9,500,120,1270,70,Sunoptimo,Lys Services,"https://www.sunoptimo.com/fr/lys-services
https://fondschaleur.ademe.fr/temoignages/denis-godefroy/
https://www.solaire-collectif.fr/photo/img/2020/Fiches%20exemplaires/FICHE-Lys-Services.pdf"
Limeil-Brévannes,2016,,Heat Network,Glass plane,,,,830,,,,
Troyes,2023,,Heat Network,Vacuum tubes,,205,,455,,,,
Verdun,2023,Yes,Industrial,Glass plane,,8000,2000,15000,3000,Newheat,Lactalis Group,"https://www.youtube.com/watch?v=BjDAc1-0P_E
https://newheat.com/realisations/industrie-laitiere/"
